imagen,angulo_brazos,angulo_rodilla,angulo_tronco,criterios_cumplidos,clasificacion
img1.jpg,155.06,109.5,72.31,2,CORRECTO
img10.jpg,60.1,122.3,120.92,2,CORRECTO
img11.jpg,175.04,114.68,109.64,2,CORRECTO
img12.jpg,79.2,119.51,78.31,1,INCORRECTO
img13.png,170.71,126.48,88.81,2,CORRECTO
img14.png,173.13,119.9,65.57,2,CORRECTO
img15.png,175.44,127.64,89.34,2,CORRECTO
img16.png,177.91,116.34,113.47,3,CORRECTO
img17.png,172.19,165.15,163.21,1,INCORRECTO
img18.png,156.7,166.87,163.56,1,INCORRECTO
img19.png,174.38,113.77,108.31,2,CORRECTO
img20.png,165.79,121.78,105.82,2,CORRECTO
img21.png,162.61,131.24,173.05,2,CORRECTO
img22.png,179.23,129.76,136.02,3,CORRECTO
img23.png,178.94,152.01,156.14,2,CORRECTO
img24.jpg,174.45,138.81,118.72,2,CORRECTO
img25.jpg,157.76,87.68,85.45,1,INCORRECTO
img26.jpg,126.64,144.63,150.65,1,INCORRECTO
img27.jpg,164.52,153.09,104.26,1,INCORRECTO
img28.jpg,167.61,151.96,152.47,2,CORRECTO
img29.jpg,174.97,54.1,67.42,1,INCORRECTO
img3.jpg,170.55,141.93,150.2,2,CORRECTO
img30.png,175.74,147.02,127.6,2,CORRECTO
img31.png,177.07,153.72,149.65,2,CORRECTO
img32.png,175.4,136.39,121.43,2,CORRECTO
img33.png,22.9,164.91,157.35,1,INCORRECTO
img34.png,176.12,167.87,156.5,2,CORRECTO
img35.png,165.9,164.65,179.84,1,INCORRECTO
img36.PNG,175.97,149.79,135.11,2,CORRECTO
img37.png,178.57,105.74,65.46,2,CORRECTO
img38.png,172.04,119.3,81.31,2,CORRECTO
img39.png,170.28,147.08,103.92,1,INCORRECTO
img4.jpg,155.59,179.19,146.77,2,CORRECTO
img40.png,170.47,150.54,118.25,2,CORRECTO
img41.png,174.7,96.83,78.24,2,CORRECTO
img42.png,86.23,147.23,122.02,1,INCORRECTO
img43.png,177.02,175.49,119.85,2,CORRECTO
img44.png,173.1,112.58,73.13,2,CORRECTO
img45.png,175.72,110.51,67.1,2,CORRECTO
img5.jpg,177.94,84.76,74.39,1,INCORRECTO
img6.jpg,157.03,114.86,85.79,2,CORRECTO
img7.jpg,167.61,154.75,169.09,1,INCORRECTO
img8.jpg,176.12,138.77,147.02,2,CORRECTO
img9.jpg,174.5,172.52,145.44,2,CORRECTO
